Year,Gender,Race,Deaths,State,Population,Crude Rate,Dispensed Prescription
2012,Male,White,54,New Jersey,8864590,7.1,217
2012,Male,White,19,New Jersey,8864590,7.1,217
2012,Male,White,19,New Jersey,8864590,7.1,217
2012,Male,White,22,New Jersey,8864590,7.1,217
2012,Male,White,22,New Jersey,8864590,7.1,217
2013,Male,White,699,New Jersey,8899339,8,207
2013,Male,White,699,New Jersey,8899339,8,207
2013,Male,White,52,New Jersey,8899339,8,207
2013,Male,White,52,New Jersey,8899339,8,207
2013,Male,White,14,New Jersey,8899339,8,207
2013,Male,White,14,New Jersey,8899339,8,207
2014,Male,White,692,New Jersey,8938175,8.5,196
2014,Male,White,692,New Jersey,8938175,8.5,196
2014,Male,White,44,New Jersey,8938175,8.5,196
2014,Male,White,44,New Jersey,8938175,8.5,196
2014,Male,White,17,New Jersey,8938175,8.5,196
2014,Male,White,17,New Jersey,8938175,8.5,196
2014,Male,White,24,New Jersey,8938175,8.5,196
2014,Male,White,24,New Jersey,8938175,8.5,196
2013,Female,American Indian or Alaska Native,10,New Mexico,2085287,16.8,207
2013,Female,American Indian or Alaska Native,10,New Mexico,2085287,16.8,207
1999,Female,White,40,New Mexico,1808082,10.3,116
1999,Female,White,40,New Mexico,1808082,10.3,116
1999,Female,White,20,New Mexico,1808082,10.3,116
1999,Female,White,20,New Mexico,1808082,10.3,116
2000,Female,White,41,New Mexico,1819046,10.4,126
2000,Female,White,41,New Mexico,1819046,10.4,126
2000,Female,White,25,New Mexico,1819046,10.4,126
2000,Female,White,25,New Mexico,1819046,10.4,126
2001,Female,White,71,New Mexico,1831690,8.5,138
2001,Female,White,71,New Mexico,1831690,8.5,138
2001,Female,White,23,New Mexico,1831690,8.5,138
2001,Female,White,23,New Mexico,1831690,8.5,138
2002,Female,White,51,New Mexico,1855309,11,142
2002,Female,White,51,New Mexico,1855309,11,142
2002,Female,White,20,New Mexico,1855309,11,142
2002,Female,White,20,New Mexico,1855309,11,142
2003,Female,White,89,New Mexico,1877574,12.1,149
2003,Female,White,89,New Mexico,1877574,12.1,149
2003,Female,White,19,New Mexico,1877574,12.1,149
2003,Female,White,19,New Mexico,1877574,12.1,149
2004,Female,White,90,New Mexico,1903808,10.1,155
2004,Female,White,90,New Mexico,1903808,10.1,155
2004,Female,White,23,New Mexico,1903808,10.1,155
2004,Female,White,23,New Mexico,1903808,10.1,155
2005,Female,White,88,New Mexico,1932274,11.3,163
2005,Female,White,88,New Mexico,1932274,11.3,163
2005,Female,White,22,New Mexico,1932274,11.3,163
2005,Female,White,22,New Mexico,1932274,11.3,163
2006,Female,White,109,New Mexico,1962137,12.8,174
2006,Female,White,109,New Mexico,1962137,12.8,174
2006,Female,White,28,New Mexico,1962137,12.8,174
2006,Female,White,28,New Mexico,1962137,12.8,174
2006,Female,White,12,New Mexico,1962137,12.8,174
2006,Female,White,12,New Mexico,1962137,12.8,174
2007,Female,White,99,New Mexico,1990070,13.7,184
2007,Female,White,99,New Mexico,1990070,13.7,184
2007,Female,White,31,New Mexico,1990070,13.7,184
2007,Female,White,31,New Mexico,1990070,13.7,184
2007,Female,White,10,New Mexico,1990070,13.7,184
2007,Female,White,10,New Mexico,1990070,13.7,184
2008,Female,White,116,New Mexico,2010662,16.4,196
2008,Female,White,116,New Mexico,2010662,16.4,196
2008,Female,White,41,New Mexico,2010662,16.4,196
2008,Female,White,41,New Mexico,2010662,16.4,196
